,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Erzurum,45.222,11.916,25.02.2021 23:12:12,1.405,565
,,Eskişehir,104.999,23.019,25.02.2021 23:12:14,2.376,2.314
,,Gaziantep,94.055,22.635,25.02.2021 23:12:18,2.511,1.681
,,Giresun,57.089,9.982,25.02.2021 23:12:20,2.259,1.118
,,Gümüşhane,10.574,2.233,25.02.2021 23:12:23,368,204
,,Hakkari,4.325,1.884,25.02.2021 23:12:25,133,38
,,Hatay,101.566,22.253,25.02.2021 23:12:28,2.973,1.924
,,Içel,169.414,32.054,25.02.2021 23:12:34,4.452,3.662
,,Iğdır,9.096,2.340,25.02.2021 23:14:23,214,165
,,Isparta,55.009,15.247,25.02.2021 23:12:30,1.512,1.435
,,Istanbul,1.048.037,258.102,25.02.2021 23:12:37,27.989,20.197
,,Izmir,449.035,92.269,25.02.2021 23:12:39,12.704,8.406
,,Kahramanmaraş,70.805,13.774,25.02.2021 23:13:06,2.097,1.243
,,Karabük,25.469,4.277,25.02.2021 23:14:27,931,509
,,Karaman,23.003,4.808,25.02.2021 23:14:09,459,577
,,Kars,15.731,3.742,25.02.2021 23:12:42,413,218
,,Kastamonu,42.646,7.505,25.02.2021 23:12:44,1.753,983
,,Kayseri,123.566,26.233,25.02.2021 23:12:46,2.480,2.816
,,Kırıkkale,26.929,5.978,25.02.2021 23:14:12,773,472
,,Kırklareli,43.629,7.244,25.02.2021 23:12:48,1.454,848
,,Kırşehir,24.033,4.815,25.02.2021 23:12:51,729,541
,,Kilis,8.116,2.094,25.02.2021 23:14:30,271,119
,,Kocaeli,139.929,30.275,25.02.2021 23:12:54,4.392,2.830
,,Konya,180.646,35.245,25.02.2021 23:12:56,5.199,3.399
,,Kütahya,57.267,9.289,25.02.2021 23:12:59,2.253,1.058
,,Malatya,75.631,18.231,25.02.2021 23:13:02,1.676,1.964
,,Manisa,124.665,22.947,25.02.2021 23:13:04,4.875,2.034
,,Mardin,21.277,6.308,25.02.2021 23:13:09,732,340
,,Muğla,118.401,20.712,25.02.2021 23:13:11,3.626,2.694
,,Muş,10.406,3.181,25.02.2021 23:13:14,316,153
,,Nevşehir,28.286,5.418,25.02.2021 23:13:17,823,663
,,Niğde,28.775,6.216,25.02.2021 23:13:19,749,780
,,Ordu,83.339,15.083,25.02.2021 23:13:22,3.139,1.650
,,Osmaniye,46.793,8.744,25.02.2021 23:14:32,1.092,1.074
,,Rize,36.538,7.475,25.02.2021 23:13:25,993,820
,,Sakarya,81.727,12.182,25.02.2021 23:13:28,3.066,1.370
,,Samsun,132.606,27.976,25.02.2021 23:13:31,4.644,2.471
,,Siirt,7.391,2.216,25.02.2021 23:13:34,183,93
,,Sinop,26.566,4.180,25.02.2021 23:13:36,1.243,548
,,Sivas,55.035,11.908,25.02.2021 23:13:40,1.634,857
,,Şanlıurfa,47.155,14.368,25.02.2021 23:13:53,1.244,539
,,Şırnak,7.333,3.282,25.02.2021 23:14:16,158,131
,,Tekirdağ,87.901,16.257,25.02.2021 23:13:42,2.905,1.676
,,Tokat,66.460,12.802,25.02.2021 23:13:45,2.032,1.349
,,Trabzon,90.142,18.502,25.02.2021 23:13:47,2.348,1.908
,,Tunceli,9.271,2.057,25.02.2021 23:13:50,267,169
,,Türkiye,6.657.210,1.441.703,25.02.2021 23:14:36,191.514,131.639
,,Uşak,37.174,6.774,25.02.2021 23:13:55,1.233,755
,,Van,42.562,11.759,25.02.2021 23:13:58,1.018,377
,,Yalova,29.047,5.633,25.02.2021 23:14:25,851,656
,,Yozgat,36.118,7.918,25.02.2021 23:14:00,1.367,744
,,Zonguldak,58.800,10.827,25.02.2021 23:14:03,2.427,978
,,Adana,176.417,40.507,26.02.2021 23:08:42,4.245,4.549
,,Adıyaman,42.536,10.606,26.02.2021 23:11:15,1.067,1.346
,,Afyon,67.735,15.416,26.02.2021 23:11:17,1.708,2.054
,,Ağrı,11.959,3.384,26.02.2021 23:11:21,684,121
,,Aksaray,29.684,6.182,26.02.2021 23:13:24,950,763
,,Amasya,46.096,10.359,26.02.2021 23:11:23,1.139,1.694
,,Ankara,552.037,164.145,26.02.2021 23:11:25,9.308,17.948
,,Antalya,223.416,51.485,26.02.2021 23:11:27,5.614,5.267
,,Ardahan,8.252,1.714,26.02.2021 23:13:37,336,200
,,Artvin,22.338,4.651,26.02.2021 23:11:29,726,765
,,Aydın,137.037,26.169,26.02.2021 23:11:31,3.901,3.860
,,Balıkesir,167.944,31.459,26.02.2021 23:11:33,5.342,5.295
,,Bartın,22.218,3.661,26.02.2021 23:13:36,1.228,478
,,Batman,25.473,6.862,26.02.2021 23:13:32,436,534
,,Bayburt,5.511,1.316,26.02.2021 23:13:26,164,112
,,Bilecik,23.581,5.410,26.02.2021 23:11:35,561,853
,,Bingöl,11.701,3.009,26.02.2021 23:11:37,351,211
,,Bitlis,9.190,3.762,26.02.2021 23:11:39,286,145
,,Bolu,39.794,10.926,26.02.2021 23:11:41,1.022,1.364
,,Burdur,35.750,8.357,26.02.2021 23:11:42,774,1.283
,,Bursa,254.726,53.485,26.02.2021 23:11:44,6.617,6.749
,,Çanakkale,75.664,15.074,26.02.2021 23:11:46,2.225,2.137
,,Çankırı,21.802,5.084,26.02.2021 23:11:48,490,668
,,Çorum,60.385,13.219,26.02.2021 23:11:50,1.642,1.915
,,Denizli,104.491,24.430,26.02.2021 23:11:52,2.589,3.339
,,Diyarbakır,64.428,21.248,26.02.2021 23:11:54,2.315,1.556
,,Düzce,33.650,7.482,26.02.2021 23:13:49,1.097,961
,,Edirne,52.713,11.781,26.02.2021 23:11:55,1.807,1.522
,,Elazığ,48.753,12.864,26.02.2021 23:11:57,986,1.136
,,Erzincan,22.513,4.826,26.02.2021 23:11:59,563,514
,,Erzurum,46.926,12.839,26.02.2021 23:12:01,1.704,923
,,Eskişehir,106.999,26.773,26.02.2021 23:12:03,2.000,3.754
,,Gaziantep,96.498,24.773,26.02.2021 23:12:05,2.443,2.138
,,Giresun,59.301,11.570,26.02.2021 23:12:06,2.212,1.588
,,Gümüşhane,10.846,2.499,26.02.2021 23:12:09,272,266
,,Hakkari,4.520,1.931,26.02.2021 23:12:10,195,47
,,Hatay,105.301,24.987,26.02.2021 23:12:12,3.735,2.734
,,Içel,173.726,37.503,26.02.2021 23:12:16,4.312,5.449
,,Iğdır,9.419,2.580,26.02.2021 23:13:39,323,240
,,Isparta,56.506,17.042,26.02.2021 23:12:14,1.497,1.795
,,Istanbul,1.069.624,289.297,26.02.2021 23:12:19,21.587,31.195
,,Izmir,459.930,105.209,26.02.2021 23:12:20,10.895,12.940
,,Kahramanmaraş,72.972,15.538,26.02.2021 23:12:41,2.167,1.764
,,Karabük,26.239,5.066,26.02.2021 23:13:43,770,789
,,Karaman,23.464,5.613,26.02.2021 23:13:28,461,805
,,Kars,16.429,4.128,26.02.2021 23:12:22,698,386
,,Kastamonu,44.406,8.954,26.02.2021 23:12:24,1.760,1.449
,,Kayseri,125.977,30.068,26.02.2021 23:12:26,2.411,3.835
,,Kırıkkale,27.598,6.677,26.02.2021 23:13:30,669,699
,,Kırklareli,44.820,8.641,26.02.2021 23:12:28,1.191,1.397
,,Kırşehir,24.644,5.624,26.02.2021 23:12:30,611,809
,,Kilis,8.420,2.238,26.02.2021 23:13:45,304,144
,,Kocaeli,143.414,34.519,26.02.2021 23:12:32,3.485,4.244
,,Konya,185.488,40.539,26.02.2021 23:12:34,4.842,5.294
,,Kütahya,59.144,10.932,26.02.2021 23:12:36,1.877,1.643
,,Malatya,77.372,20.452,26.02.2021 23:12:38,1.741,2.221
,,Manisa,129.614,25.901,26.02.2021 23:12:39,4.949,2.954
,,Mardin,22.542,6.770,26.02.2021 23:12:43,1.265,462
,,Muğla,121.809,24.776,26.02.2021 23:12:45,3.408,4.064
,,Muş,11.011,3.304,26.02.2021 23:12:47,605,123
,,Nevşehir,29.006,6.316,26.02.2021 23:12:49,720,898
,,Niğde,29.366,7.190,26.02.2021 23:12:51,591,974
,,Ordu,86.103,17.687,26.02.2021 23:12:52,2.764,2.604
,,Osmaniye,47.873,10.281,26.02.2021 23:13:47,1.080,1.537
,,Rize,37.610,8.772,26.02.2021 23:12:54,1.072,1.297
,,Sakarya,84.436,14.239,26.02.2021 23:12:57,2.709,2.057
,,Samsun,137.317,31.604,26.02.2021 23:12:58,4.711,3.628
,,Siirt,7.627,2.366,26.02.2021 23:13:00,236,150
,,Sinop,27.791,4.942,26.02.2021 23:13:02,1.225,762
,,Sivas,56.604,13.228,26.02.2021 23:13:04,1.569,1.320
,,Şanlıurfa,49.352,15.084,26.02.2021 23:13:15,2.197,716
,,Şırnak,7.652,3.394,26.02.2021 23:13:34,319,112
,,Tekirdağ,90.578,18.835,26.02.2021 23:13:06,2.677,2.578
,,Tokat,68.453,14.720,26.02.2021 23:13:09,1.993,1.918
,,Trabzon,92.508,21.266,26.02.2021 23:13:10,2.366,2.764
,,Tunceli,9.582,2.364,26.02.2021 23:13:12,311,307
,,Türkiye,6.835.303,1.635.913,26.02.2021 23:13:51,178.093,194.210
,,Uşak,38.367,7.973,26.02.2021 23:13:16,1.193,1.199
,,Van,44.061,12.331,26.02.2021 23:13:18,1.499,572
,,Yalova,29.726,6.603,26.02.2021 23:13:41,679,970
,,Yozgat,37.228,8.727,26.02.2021 23:13:20,1.110,809
,,Zonguldak,61.312,12.378,26.02.2021 23:13:22,2.512,1.551
,,Adana,176.890,41.065,27.02.2021 23:08:50,473,558
,,Adıyaman,42.604,10.986,27.02.2021 23:11:16,68,380
,,Afyon,67.944,15.622,27.02.2021 22:11:19,209,206
,,Ağrı,12.053,3.409,27.02.2021 22:11:23,94,25
,,Aksaray,29.780,6.298,27.02.2021 22:15:19,96,116
,,Amasya,46.682,10.624,27.02.2021 22:11:27,586,265
,,Ankara,553.540,167.622,27.02.2021 22:11:30,1.503,3.477
,,Antalya,224.751,52.628,27.02.2021 22:11:33,1.335,1.143
,,Ardahan,8.307,1.722,27.02.2021 22:15:46,55,8
,,Artvin,22.376,4.678,27.02.2021 22:11:37,38,27
,,Aydın,137.413,26.776,27.02.2021 22:11:40,376,607
,,Balıkesir,169.322,32.810,27.02.2021 22:11:44,1.378,1.351
,,Bartın,22.287,3.777,27.02.2021 22:15:41,69,116
,,Batman,25.719,6.944,27.02.2021 22:15:34,246,82
,,Bayburt,5.534,1.327,27.02.2021 22:15:22,23,11
,,Bilecik,23.657,5.569,27.02.2021 22:11:48,76,159
,,Bingöl,11.751,3.025,27.02.2021 22:11:51,50,16
,,Bitlis,9.244,3.793,27.02.2021 22:11:55,54,31
,,Bolu,39.977,11.134,27.02.2021 22:11:59,183,208
,,Burdur,35.846,8.486,27.02.2021 22:12:03,96,129
,,Bursa,255.849,54.844,27.02.2021 22:12:06,1.123,1.359
,,Çanakkale,76.062,15.498,27.02.2021 22:12:10,398,424
,,Çankırı,21.853,5.153,27.02.2021 22:12:14,51,69
,,Çorum,60.650,13.661,27.02.2021 22:12:17,265,442
,,Denizli,104.771,25.010,27.02.2021 22:12:21,280,580
,,Diyarbakır,64.667,21.650,27.02.2021 22:12:24,239,402
,,Düzce,33.698,7.527,27.02.2021 22:16:07,48,45
,,Edirne,52.947,12.007,27.02.2021 22:12:28,234,226
,,Elazığ,48.864,12.978,27.02.2021 22:12:31,111,114
,,Erzincan,22.556,4.904,27.02.2021 22:12:35,43,78
,,Erzurum,47.287,13.000,27.02.2021 22:12:39,361,161
,,Eskişehir,107.284,27.201,27.02.2021 22:12:42,285,428
,,Gaziantep,97.594,25.184,27.02.2021 22:12:47,1.096,411
,,Giresun,59.387,11.697,27.02.2021 22:12:51,86,127
,,Gümüşhane,10.861,2.527,27.02.2021 22:12:55,15,28
,,Hakkari,4.548,1.938,27.02.2021 22:12:59,28,7
,,Hatay,105.711,25.190,27.02.2021 22:13:02,410,203
,,Içel,173.991,37.961,27.02.2021 22:13:09,265,458
,,Iğdır,9.425,2.617,27.02.2021 22:15:50,6,37
,,Isparta,56.769,17.208,27.02.2021 22:13:06,263,166
,,Istanbul,1.075.007,297.413,27.02.2021 22:13:13,5.383,8.116
,,Izmir,461.631,107.635,27.02.2021 22:13:17,1.701,2.426
,,Kahramanmaraş,73.324,15.971,27.02.2021 22:13:57,352,433
,,Karabük,26.395,5.180,27.02.2021 22:15:57,156,114
,,Karaman,23.507,5.694,27.02.2021 22:15:26,43,81
,,Kars,16.535,4.163,27.02.2021 22:13:21,106,35
,,Kastamonu,44.669,9.032,27.02.2021 22:13:25,263,78
,,Kayseri,126.155,30.585,27.02.2021 22:13:28,178,517
,,Kırıkkale,27.654,6.746,27.02.2021 22:15:30,56,69
,,Kırklareli,44.970,8.795,27.02.2021 22:13:32,150,154
,,Kırşehir,24.704,5.723,27.02.2021 22:13:35,60,99
,,Kilis,8.453,2.256,27.02.2021 22:16:00,33,18
,,Kocaeli,143.981,35.389,27.02.2021 22:13:39,567,870
,,Konya,186.296,41.632,27.02.2021 22:13:43,808,1.093
,,Kütahya,59.350,11.108,27.02.2021 22:13:47,206,176
,,Malatya,77.523,20.714,27.02.2021 22:13:51,151,262
,,Manisa,130.319,26.337,27.02.2021 22:13:54,705,436
,,Mardin,22.711,6.844,27.02.2021 22:14:01,169,74
,,Muğla,122.296,25.349,27.02.2021 22:14:05,487,573
,,Muş,11.187,3.363,27.02.2021 22:14:08,176,59
,,Nevşehir,29.062,6.395,27.02.2021 22:14:12,56,79
,,Niğde,29.417,7.260,27.02.2021 22:14:15,51,70
,,Ordu,86.726,18.202,27.02.2021 22:14:18,623,515
,,Osmaniye,47.971,10.498,27.02.2021 22:16:04,98,217
,,Rize,37.688,8.870,27.02.2021 22:14:22,78,98
,,Sakarya,85.061,14.702,27.02.2021 22:14:26,625,463
,,Samsun,138.099,32.298,27.02.2021 22:14:29,782,694
,,Siirt,7.655,2.381,27.02.2021 22:14:33,28,15
,,Sinop,27.992,5.041,27.02.2021 22:14:37,201,99
,,Sivas,56.862,13.317,27.02.2021 22:14:41,258,89
,,Şanlıurfa,49.805,15.221,27.02.2021 22:14:59,453,137
,,Şırnak,7.738,3.429,27.02.2021 22:15:37,86,35
,,Tekirdağ,91.079,19.187,27.02.2021 22:14:44,501,352
,,Tokat,68.758,15.056,27.02.2021 22:14:48,305,336
,,Trabzon,92.729,21.616,27.02.2021 22:14:52,221,350
,,Tunceli,9.591,2.392,27.02.2021 22:14:55,9,28
,,Türkiye,6.865.387,1.670.691,27.02.2021 22:16:11,30.084,34.778
,,Uşak,38.450,8.027,27.02.2021 22:15:03,83,54
,,Van,44.678,12.470,27.02.2021 22:15:07,617,139
,,Yalova,29.918,6.751,27.02.2021 22:15:53,192,148
,,Yozgat,37.339,8.939,27.02.2021 22:15:11,111,212
,,Zonguldak,61.653,12.660,27.02.2021 22:15:15,341,282
,,Adana,177.084,41.516,28.02.2021 23:08:45,194,451
,,Adıyaman,42.671,11.231,28.02.2021 23:11:15,67,245
,,Afyon,68.033,15.741,28.02.2021 23:11:18,89,119
,,Ağrı,12.113,3.439,28.02.2021 23:11:21,60,30
,,Aksaray,29.811,6.366,28.02.2021 23:14:21,31,68
,,Amasya,46.915,10.820,28.02.2021 23:11:23,233,196
,,Ankara,554.278,170.186,28.02.2021 23:11:26,738,2.564
,,Antalya,225.614,53.310,28.02.2021 23:11:29,863,682
,,Ardahan,8.365,1.727,28.02.2021 23:14:40,58,5
,,Artvin,22.394,4.686,28.02.2021 23:11:32,18,8
,,Aydın,137.613,27.278,28.02.2021 23:11:34,200,502
,,Balıkesir,169.789,33.870,28.02.2021 23:11:37,467,1.060
,,Bartın,22.353,3.911,28.02.2021 23:14:37,66,134
,,Batman,26.037,7.031,28.02.2021 23:14:32,318,87
,,Bayburt,5.548,1.340,28.02.2021 23:14:24,14,13
,,Bilecik,23.691,5.643,28.02.2021 23:11:39,34,74
,,Bingöl,11.769,3.052,28.02.2021 23:11:42,18,27
,,Bitlis,9.272,3.806,28.02.2021 23:11:45,28,13
,,Bolu,40.065,11.296,28.02.2021 23:11:48,88,162
,,Burdur,35.868,8.566,28.02.2021 23:11:51,22,80
,,Bursa,256.415,56.044,28.02.2021 23:11:53,566,1.200
,,Çanakkale,76.316,15.920,28.02.2021 23:11:56,254,422
,,Çankırı,21.888,5.204,28.02.2021 23:11:59,35,51
,,Çorum,60.870,14.079,28.02.2021 23:12:02,220,418
,,Denizli,104.919,25.335,28.02.2021 23:12:04,148,325
,,Diyarbakır,64.788,21.942,28.02.2021 23:12:07,121,292
,,Düzce,33.724,7.547,28.02.2021 23:14:56,26,20
,,Edirne,53.094,12.158,28.02.2021 23:12:10,147,151
,,Elazığ,48.905,13.045,28.02.2021 23:12:12,41,67
,,Erzincan,22.582,4.985,28.02.2021 23:12:15,26,81
,,Erzurum,47.547,13.144,28.02.2021 23:12:18,260,144
,,Eskişehir,107.406,27.602,28.02.2021 23:12:21,122,401
,,Gaziantep,97.857,25.507,28.02.2021 23:12:24,263,323
,,Giresun,59.439,11.789,28.02.2021 23:12:27,52,92
,,Gümüşhane,10.872,2.535,28.02.2021 23:12:30,11,8
,,Hakkari,4.569,1.950,28.02.2021 23:12:33,21,12
,,Hatay,105.928,25.309,28.02.2021 23:12:36,217,119
,,Içel,174.086,38.268,28.02.2021 23:12:42,95,307
,,Iğdır,9.434,2.642,28.02.2021 23:14:43,9,25
,,Isparta,57.037,17.343,28.02.2021 23:12:39,268,135
,,Istanbul,1.078.121,303.131,28.02.2021 23:12:45,3.114,5.718
,,Izmir,462.610,109.659,28.02.2021 23:12:48,979,2.024
,,Kahramanmaraş,73.514,16.287,28.02.2021 23:13:19,190,316
,,Karabük,26.481,5.285,28.02.2021 23:14:48,86,105
,,Karaman,23.526,5.770,28.02.2021 23:14:27,19,76
,,Kars,16.600,4.197,28.02.2021 23:12:51,65,34
,,Kastamonu,44.765,9.063,28.02.2021 23:12:54,96,31
,,Kayseri,126.265,31.025,28.02.2021 23:12:57,110,440
,,Kırıkkale,27.682,6.795,28.02.2021 23:14:29,28,49
,,Kırklareli,45.036,8.886,28.02.2021 23:12:59,66,91
,,Kırşehir,24.739,5.816,28.02.2021 23:13:02,35,93
,,Kilis,8.477,2.270,28.02.2021 23:14:51,24,14
,,Kocaeli,144.240,36.028,28.02.2021 23:13:05,259,639
,,Konya,186.825,42.676,28.02.2021 23:13:08,529,1.044
,,Kütahya,59.522,11.233,28.02.2021 23:13:10,172,125
,,Malatya,77.582,20.947,28.02.2021 23:13:13,59,233
,,Manisa,130.751,26.630,28.02.2021 23:13:16,432,293
,,Mardin,22.803,6.897,28.02.2021 23:13:22,92,53
,,Muğla,122.596,25.727,28.02.2021 23:13:25,300,378
,,Muş,11.277,3.379,28.02.2021 23:13:28,90,16
,,Nevşehir,29.089,6.476,28.02.2021 23:13:31,27,81
,,Niğde,29.436,7.324,28.02.2021 23:13:34,19,64
,,Ordu,87.064,18.574,28.02.2021 23:13:37,338,372
,,Osmaniye,48.013,10.620,28.02.2021 23:14:53,42,122
,,Rize,37.731,8.963,28.02.2021 23:13:39,43,93
,,Sakarya,85.452,15.075,28.02.2021 23:13:42,391,373
,,Samsun,138.600,32.876,28.02.2021 23:13:45,501,578
,,Siirt,7.697,2.394,28.02.2021 23:13:48,42,13
,,Sinop,28.077,5.100,28.02.2021 23:13:51,85,59
,,Sivas,57.045,13.400,28.02.2021 23:13:54,183,83
,,Şanlıurfa,49.996,15.329,28.02.2021 23:14:07,191,108
,,Şırnak,7.766,3.444,28.02.2021 23:14:34,28,15
,,Tekirdağ,91.435,19.478,28.02.2021 23:13:56,356,291
,,Tokat,68.891,15.324,28.02.2021 23:13:59,133,268
,,Trabzon,92.812,21.897,28.02.2021 23:14:02,83,281
,,Tunceli,9.592,2.401,28.02.2021 23:14:05,1,9
,,Türkiye,6.882.100,1.696.959,28.02.2021 23:14:59,16.713,26.268
,,Uşak,38.488,8.073,28.02.2021 23:14:10,38,46
,,Van,45.262,12.606,28.02.2021 23:14:13,584,136
,,Yalova,29.982,6.847,28.02.2021 23:14:45,64,96
,,Yozgat,37.493,9.060,28.02.2021 23:14:16,154,121
,,Zonguldak,61.808,12.834,28.02.2021 23:14:18,155,174
,,Adana,180.999,45.212,01.03.2021 23:08:45,3.915,3.696
,,Adıyaman,43.447,12.234,01.03.2021 23:11:15,776,1.003
,,Afyon,69.608,17.530,01.03.2021 23:11:17,1.575,1.789
,,Ağrı,12.750,3.550,01.03.2021 23:11:18,637,111
,,Aksaray,30.678,6.971,01.03.2021 23:13:25,867,605
,,Amasya,47.916,12.219,01.03.2021 23:11:21,1.001,1.399
,,Ankara,563.546,183.512,01.03.2021 23:11:23,9.268,13.326
,,Antalya,230.624,56.991,01.03.2021 23:11:25,5.010,3.681
,,Ardahan,8.695,1.874,01.03.2021 23:13:39,330,147
,,Artvin,23.050,5.325,01.03.2021 23:11:27,656,639
,,Aydın,141.107,30.460,01.03.2021 23:11:29,3.494,3.182
,,Balıkesir,174.515,37.910,01.03.2021 23:11:31,4.726,4.040
,,Bartın,23.204,4.384,01.03.2021 23:13:37,851,473
,,Batman,26.523,7.429,01.03.2021 23:13:33,486,398
,,Bayburt,5.714,1.411,01.03.2021 23:13:27,166,71
,,Bilecik,24.211,6.279,01.03.2021 23:11:32,520,636
,,Bingöl,12.087,3.226,01.03.2021 23:11:34,318,174
,,Bitlis,9.602,3.930,01.03.2021 23:11:36,330,124
,,Bolu,40.807,12.227,01.03.2021 23:11:38,742,931
,,Burdur,36.464,9.552,01.03.2021 23:11:39,596,986
,,Bursa,262.512,61.713,01.03.2021 23:11:41,6.097,5.669
,,Çanakkale,78.268,17.919,01.03.2021 23:11:43,1.952,1.999
,,Çankırı,22.315,5.772,01.03.2021 23:11:45,427,568
,,Çorum,62.435,15.734,01.03.2021 23:11:47,1.565,1.655
,,Denizli,107.264,28.110,01.03.2021 23:11:49,2.345,2.775
,,Diyarbakır,66.546,23.194,01.03.2021 23:11:51,1.758,1.252
,,Düzce,34.772,8.352,01.03.2021 23:13:49,1.048,805
,,Edirne,55.023,13.397,01.03.2021 23:11:53,1.929,1.239
,,Elazığ,49.804,14.069,01.03.2021 23:11:55,899,1.024
,,Erzincan,23.069,5.451,01.03.2021 23:11:57,487,466
,,Erzurum,49.621,14.037,01.03.2021 23:11:59,2.074,893
,,Eskişehir,109.237,30.683,01.03.2021 23:12:01,1.831,3.081
,,Gaziantep,100.220,27.346,01.03.2021 23:12:03,2.363,1.839
,,Giresun,61.674,13.393,01.03.2021 23:12:04,2.235,1.604
,,Gümüşhane,11.193,2.726,01.03.2021 23:12:07,321,191
,,Hakkari,4.760,1.988,01.03.2021 23:12:09,191,38
,,Hatay,108.837,27.428,01.03.2021 23:12:11,2.909,2.119
,,Içel,177.998,42.744,01.03.2021 23:12:15,3.912,4.476
,,Iğdır,9.679,2.806,01.03.2021 23:13:41,245,164
,,Isparta,58.143,18.662,01.03.2021 23:12:13,1.106,1.319
,,Istanbul,1.099.840,328.057,01.03.2021 23:12:17,21.719,24.926
,,Izmir,473.090,119.708,01.03.2021 23:12:18,10.480,10.049
,,Kahramanmaraş,75.479,17.684,01.03.2021 23:12:41,1.965,1.397
,,Karabük,27.219,5.839,01.03.2021 23:13:44,738,554
,,Karaman,24.148,6.317,01.03.2021 23:13:29,622,547
,,Kars,17.169,4.538,01.03.2021 23:12:21,569,341
,,Kastamonu,46.304,10.310,01.03.2021 23:12:23,1.539,1.247
,,Kayseri,128.243,33.761,01.03.2021 23:12:24,1.978,2.736
,,Kırıkkale,28.325,7.285,01.03.2021 23:13:31,643,490
,,Kırklareli,46.152,10.047,01.03.2021 23:12:26,1.116,1.161
,,Kırşehir,25.238,6.344,01.03.2021 23:12:28,499,528
,,Kilis,8.663,2.384,01.03.2021 23:13:46,186,114
,,Kocaeli,148.027,39.502,01.03.2021 23:12:31,3.787,3.474
,,Konya,191.378,46.982,01.03.2021 23:12:33,4.553,4.306
,,Kütahya,61.432,12.548,01.03.2021 23:12:35,1.910,1.315
,,Malatya,78.970,22.498,01.03.2021 23:12:37,1.388,1.551
,,Manisa,135.365,28.892,01.03.2021 23:12:39,4.614,2.262
,,Mardin,23.600,7.158,01.03.2021 23:12:43,797,261
,,Muğla,125.969,28.832,01.03.2021 23:12:45,3.373,3.105
,,Muş,11.689,3.504,01.03.2021 23:12:47,412,125
,,Nevşehir,29.907,7.283,01.03.2021 23:12:49,818,807
,,Niğde,30.038,8.061,01.03.2021 23:12:51,602,737
,,Ordu,89.557,20.765,01.03.2021 23:12:53,2.493,2.191
,,Osmaniye,48.860,11.689,01.03.2021 23:13:48,847,1.069
,,Rize,38.648,10.054,01.03.2021 23:12:55,917,1.091
,,Sakarya,87.892,16.761,01.03.2021 23:12:57,2.440,1.686
,,Samsun,142.778,36.094,01.03.2021 23:12:59,4.178,3.218
,,Siirt,7.904,2.508,01.03.2021 23:13:01,207,114
,,Sinop,29.201,5.761,01.03.2021 23:13:03,1.124,661
,,Sivas,58.525,14.451,01.03.2021 23:13:05,1.480,1.051
,,Şanlıurfa,51.698,15.920,01.03.2021 23:13:15,1.702,591
,,Şırnak,8.031,3.509,01.03.2021 23:13:35,265,65
,,Tekirdağ,93.939,21.355,01.03.2021 23:13:07,2.504,1.877
,,Tokat,70.743,17.066,01.03.2021 23:13:09,1.852,1.742
,,Trabzon,94.881,24.386,01.03.2021 23:13:11,2.069,2.489
,,Tunceli,9.915,2.648,01.03.2021 23:13:13,323,247
,,Türkiye,7.047.041,1.852.283,01.03.2021 23:13:51,164.941,155.324
,,Uşak,39.643,9.251,01.03.2021 23:13:17,1.155,1.178
,,Van,46.228,13.025,01.03.2021 23:13:19,966,419
,,Yalova,30.650,7.682,01.03.2021 23:13:42,668,835
,,Yozgat,38.632,9.824,01.03.2021 23:13:21,1.139,764
,,Zonguldak,64.154,14.250,01.03.2021 23:13:23,2.346,1.416
,,Adana,183.982,48.774,02.03.2021 23:08:47,2.983,3.562
,,Adıyaman,44.032,13.230,02.03.2021 23:11:15,585,996
,,Afyon,70.900,19.188,02.03.2021 23:11:17,1.292,1.658
,,Ağrı,13.195,3.691,02.03.2021 23:11:19,445,141
,,Aksaray,31.322,7.546,02.03.2021 23:17:08,644,575
,,Amasya,48.740,13.611,02.03.2021 23:11:22,824,1.392
,,Ankara,571.490,195.985,02.03.2021 23:11:24,7.944,12.473
,,Antalya,234.520,60.867,02.03.2021 23:11:27,3.896,3.876
,,Ardahan,8.864,2.031,02.03.2021 22:13:55,169,157
,,Artvin,23.498,6.011,02.03.2021 23:11:29,448,686
,,Aydın,143.926,33.746,02.03.2021 23:11:31,2.819,3.286
,,Balıkesir,178.548,41.324,02.03.2021 23:11:34,4.033,3.414
,,Bartın,23.999,4.934,02.03.2021 22:13:53,795,550
,,Batman,26.888,7.921,02.03.2021 22:13:48,365,492
,,Bayburt,5.863,1.499,02.03.2021 23:17:10,149,88
,,Bilecik,24.639,6.901,02.03.2021 23:11:45,428,622
,,Bingöl,12.365,3.393,02.03.2021 23:11:48,278,167
,,Bitlis,9.843,4.032,02.03.2021 23:11:55,241,102
,,Bolu,41.553,13.171,02.03.2021 23:11:58,746,944
,,Burdur,37.015,10.436,02.03.2021 23:12:06,551,884
,,Bursa,267.814,67.146,02.03.2021 23:12:10,5.302,5.433
,,Çanakkale,79.927,19.817,02.03.2021 23:12:17,1.659,1.898
,,Çankırı,22.697,6.292,02.03.2021 23:12:21,382,520
,,Çorum,63.666,17.269,02.03.2021 23:12:30,1.231,1.535
,,Denizli,109.181,30.813,02.03.2021 23:12:39,1.917,2.703
,,Diyarbakır,67.712,24.386,02.03.2021 23:12:47,1.166,1.192
,,Düzce,35.723,9.093,02.03.2021 22:14:07,951,741
