,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Iğdır,2.212,0,25.01.2021 23:12:04,,
,,Isparta,13.292,0,25.01.2021 23:11:36,,
,,Istanbul,237.595,0,25.01.2021 23:11:37,,
,,Izmir,80.952,0,25.01.2021 23:11:38,,
,,Kahramanmaraş,12.966,0,25.01.2021 23:11:45,,
,,Karabük,3.717,0,25.01.2021 23:12:06,,
,,Karaman,4.167,0,25.01.2021 23:12:00,,
,,Kars,3.609,0,25.01.2021 23:11:39,,
,,Kastamonu,6.162,0,25.01.2021 23:11:39,,
,,Kayseri,23.182,0,25.01.2021 23:11:40,,
,,Kırıkkale,5.372,0,25.01.2021 23:12:01,,
,,Kırklareli,6.032,0,25.01.2021 23:11:41,,
,,Kırşehir,4.163,0,25.01.2021 23:11:41,,
,,Kilis,2.163,0,25.01.2021 23:12:07,,
,,Kocaeli,27.386,0,25.01.2021 23:11:42,,
,,Konya,30.874,0,25.01.2021 23:11:42,,
,,Kütahya,7.893,0,25.01.2021 23:11:43,,
,,Malatya,15.295,0,25.01.2021 23:11:44,,
,,Manisa,20.669,0,25.01.2021 23:11:44,,
,,Mardin,6.659,0,25.01.2021 23:11:46,,
,,Muğla,16.946,0,25.01.2021 23:11:46,,
,,Muş,3.334,0,25.01.2021 23:11:47,,
,,Nevşehir,4.634,0,25.01.2021 23:11:47,,
,,Niğde,5.035,0,25.01.2021 23:11:48,,
,,Ordu,13.587,0,25.01.2021 23:11:49,,
,,Osmaniye,7.372,0,25.01.2021 23:12:07,,
,,Rize,6.665,0,25.01.2021 23:11:49,,
,,Sakarya,11.128,0,25.01.2021 23:11:50,,
,,Samsun,25.375,0,25.01.2021 23:11:51,,
,,Siirt,2.429,0,25.01.2021 23:11:51,,
,,Sinop,3.515,0,25.01.2021 23:11:52,,
,,Sivas,11.020,0,25.01.2021 23:11:52,,
,,Şanlıurfa,15.507,0,25.01.2021 23:11:56,,
,,Şırnak,3.909,0,25.01.2021 23:12:02,,
,,Tekirdağ,14.545,0,25.01.2021 23:11:53,,
,,Tokat,11.350,0,25.01.2021 23:11:53,,
,,Trabzon,16.004,0,25.01.2021 23:11:55,,
,,Tunceli,1.937,0,25.01.2021 23:11:55,,
,,Türkiye,1.302.968,0,25.01.2021 23:04:00,,
,,Uşak,5.935,0,25.01.2021 23:11:57,,
,,Van,12.876,0,25.01.2021 23:11:57,,
,,Yalova,4.847,0,25.01.2021 23:12:05,,
,,Yozgat,7.005,0,25.01.2021 23:11:58,,
,,Zonguldak,9.642,0,25.01.2021 23:11:58,,
,,Adana,35.390,0,26.01.2021 23:11:15,2.519,
,,Adıyaman,9.085,0,26.01.2021 23:11:18,814,
,,Afyon,12.556,0,26.01.2021 23:11:20,1.162,
,,Ağrı,3.429,0,26.01.2021 23:11:23,51,
,,Aksaray,5.427,0,26.01.2021 23:13:54,465,
,,Amasya,8.140,0,26.01.2021 23:11:26,1.081,
,,Ankara,140.622,0,26.01.2021 23:11:28,10.917,
,,Antalya,47.212,0,26.01.2021 23:11:31,3.340,
,,Ardahan,1.558,0,26.01.2021 23:14:11,102,
,,Artvin,3.708,0,26.01.2021 23:11:33,503,
,,Aydın,20.964,0,26.01.2021 23:11:35,1.862,
,,Balıkesir,24.237,0,26.01.2021 23:11:37,3.096,
,,Bartın,3.063,0,26.01.2021 23:14:08,342,
,,Batman,7.233,0,26.01.2021 23:14:04,234,
,,Bayburt,1.246,0,26.01.2021 23:13:57,54,
,,Bilecik,4.360,0,26.01.2021 23:11:40,518,
,,Bingöl,2.978,0,26.01.2021 23:11:42,97,
,,Bitlis,3.856,0,26.01.2021 23:11:45,95,
,,Bolu,9.107,0,26.01.2021 23:11:47,757,
,,Burdur,6.511,0,26.01.2021 23:11:49,631,
,,Bursa,45.124,0,26.01.2021 23:11:52,3.200,
,,Çanakkale,12.042,0,26.01.2021 23:11:54,1.183,
,,Çankırı,4.278,0,26.01.2021 23:11:57,404,
,,Çorum,10.998,0,26.01.2021 23:11:59,1.000,
,,Denizli,20.606,0,26.01.2021 23:12:01,1.834,
,,Diyarbakır,20.631,0,26.01.2021 23:12:04,848,
,,Düzce,6.414,0,26.01.2021 23:14:25,501,
,,Edirne,10.247,0,26.01.2021 23:12:06,1.034,
,,Elazığ,11.920,0,26.01.2021 23:12:09,447,
,,Erzincan,4.275,0,26.01.2021 23:12:11,293,
,,Erzurum,12.331,0,26.01.2021 23:12:13,387,
,,Eskişehir,21.633,0,26.01.2021 23:12:16,1.935,
,,Gaziantep,23.732,0,26.01.2021 23:12:18,1.018,
,,Giresun,9.941,0,26.01.2021 23:12:21,1.087,
,,Gümüşhane,2.294,0,26.01.2021 23:12:23,167,
,,Hakkari,2.093,0,26.01.2021 23:12:25,19,
,,Hatay,22.312,0,26.01.2021 23:12:28,1.741,
,,Içel,30.496,0,26.01.2021 23:12:33,2.300,
,,Iğdır,2.344,0,26.01.2021 23:14:13,132,
,,Isparta,14.284,0,26.01.2021 23:12:30,992,
,,Istanbul,253.941,0,26.01.2021 23:12:35,16.346,
,,Izmir,87.588,0,26.01.2021 23:12:37,6.636,
,,Kahramanmaraş,13.877,0,26.01.2021 23:13:04,911,
,,Karabük,4.091,0,26.01.2021 23:14:18,374,
,,Karaman,4.651,0,26.01.2021 23:13:59,484,
,,Kars,3.771,0,26.01.2021 23:12:40,162,
,,Kastamonu,6.878,0,26.01.2021 23:12:43,716,
,,Kayseri,25.124,0,26.01.2021 23:12:45,1.942,
,,Kırıkkale,5.701,0,26.01.2021 23:14:01,329,
,,Kırklareli,6.791,0,26.01.2021 23:12:48,759,
,,Kırşehir,4.659,0,26.01.2021 23:12:50,496,
,,Kilis,2.270,0,26.01.2021 23:14:21,107,
,,Kocaeli,29.548,0,26.01.2021 23:12:52,2.162,
,,Konya,33.486,0,26.01.2021 23:12:55,2.612,
,,Kütahya,8.810,0,26.01.2021 23:12:57,917,
,,Malatya,16.990,0,26.01.2021 23:12:59,1.695,
,,Manisa,22.641,0,26.01.2021 23:13:02,1.972,
,,Mardin,6.980,0,26.01.2021 23:13:07,321,
,,Muğla,19.511,0,26.01.2021 23:13:09,2.565,
,,Muş,3.460,0,26.01.2021 23:13:11,126,
,,Nevşehir,5.225,0,26.01.2021 23:13:14,591,
,,Niğde,5.992,0,26.01.2021 23:13:16,957,
,,Ordu,15.047,0,26.01.2021 23:13:18,1.460,
,,Osmaniye,8.393,0,26.01.2021 23:14:23,1.021,
,,Rize,7.446,0,26.01.2021 23:13:21,781,
,,Sakarya,11.769,0,26.01.2021 23:13:23,641,
,,Samsun,27.328,0,26.01.2021 23:13:26,1.953,
,,Siirt,2.537,0,26.01.2021 23:13:28,108,
,,Sinop,3.989,0,26.01.2021 23:13:30,474,
,,Sivas,11.687,0,26.01.2021 23:13:33,667,
,,Şanlıurfa,15.975,0,26.01.2021 23:13:42,468,
,,Şırnak,4.054,0,26.01.2021 23:14:06,145,
,,Tekirdağ,16.231,0,26.01.2021 23:13:35,1.686,
,,Tokat,12.431,0,26.01.2021 23:13:35,1.081,
,,Trabzon,17.605,0,26.01.2021 23:13:37,1.601,
,,Tunceli,2.124,0,26.01.2021 23:13:40,187,
,,Türkiye,1.410.394,0,26.01.2021 23:04:00,107.426,
,,Uşak,6.568,0,26.01.2021 23:13:44,633,
,,Van,13.095,0,26.01.2021 23:13:47,219,
,,Yalova,5.405,0,26.01.2021 23:14:15,558,
,,Yozgat,7.621,0,26.01.2021 23:13:49,616,
,,Zonguldak,10.427,0,26.01.2021 23:13:52,785,
,,Adana,38.140,0,27.01.2021 23:11:15,2.750,
,,Adıyaman,9.932,0,27.01.2021 23:11:16,847,
,,Afyon,13.614,0,27.01.2021 23:11:17,1.058,
,,Ağrı,3.500,0,27.01.2021 23:11:18,71,
,,Aksaray,5.902,0,27.01.2021 23:12:23,475,
,,Amasya,9.097,0,27.01.2021 23:11:19,957,
,,Ankara,151.004,0,27.01.2021 23:11:20,10.382,
,,Antalya,49.864,0,27.01.2021 23:11:21,2.652,
,,Ardahan,1.634,0,27.01.2021 23:12:30,76,
,,Artvin,4.265,0,27.01.2021 23:11:22,557,
,,Aydın,23.143,0,27.01.2021 23:11:23,2.179,
,,Balıkesir,27.492,0,27.01.2021 23:11:24,3.255,
,,Bartın,3.566,0,27.01.2021 23:12:29,503,
,,Batman,7.522,0,27.01.2021 23:12:27,289,
,,Bayburt,1.300,0,27.01.2021 23:12:24,54,
,,Bilecik,4.913,0,27.01.2021 23:11:25,553,
,,Bingöl,3.081,0,27.01.2021 23:11:26,103,
,,Bitlis,3.964,0,27.01.2021 23:11:27,108,
,,Bolu,9.857,0,27.01.2021 23:11:28,750,
,,Burdur,7.410,0,27.01.2021 23:11:29,899,
,,Bursa,48.857,0,27.01.2021 23:11:31,3.733,
,,Çanakkale,13.255,0,27.01.2021 23:11:32,1.213,
,,Çankırı,4.615,0,27.01.2021 23:11:33,337,
,,Çorum,12.189,0,27.01.2021 23:11:34,1.191,
,,Denizli,22.320,0,27.01.2021 23:11:35,1.714,
,,Diyarbakır,21.424,0,27.01.2021 23:11:36,793,
,,Düzce,6.951,0,27.01.2021 23:12:35,537,
,,Edirne,11.163,0,27.01.2021 23:11:37,916,
,,Elazığ,12.549,0,27.01.2021 23:11:38,629,
,,Erzincan,4.617,0,27.01.2021 23:11:39,342,
,,Erzurum,12.749,0,27.01.2021 23:11:40,418,
,,Eskişehir,23.631,0,27.01.2021 23:11:41,1.998,
,,Gaziantep,24.789,0,27.01.2021 23:11:42,1.057,
,,Giresun,11.121,0,27.01.2021 23:11:42,1.180,
,,Gümüşhane,2.484,0,27.01.2021 23:11:44,190,
,,Hakkari,2.123,0,27.01.2021 23:11:45,30,
,,Hatay,24.291,0,27.01.2021 23:11:46,1.979,
,,Içel,33.087,0,27.01.2021 23:11:48,2.591,
,,Iğdır,2.476,0,27.01.2021 23:12:31,132,
,,Isparta,15.142,0,27.01.2021 23:11:47,858,
,,Istanbul,271.349,0,27.01.2021 23:11:49,17.408,
,,Izmir,95.071,0,27.01.2021 23:11:50,7.483,
,,Kahramanmaraş,14.947,0,27.01.2021 23:12:01,1.070,
,,Karabük,4.509,0,27.01.2021 23:12:33,418,
,,Karaman,5.178,0,27.01.2021 23:12:25,527,
,,Kars,3.959,0,27.01.2021 23:11:51,188,
,,Kastamonu,7.701,0,27.01.2021 23:11:52,823,
,,Kayseri,27.161,0,27.01.2021 23:11:53,2.037,
,,Kırıkkale,6.107,0,27.01.2021 23:12:26,406,
,,Kırklareli,7.556,0,27.01.2021 23:11:54,765,
,,Kırşehir,5.097,0,27.01.2021 23:11:55,438,
,,Kilis,2.363,0,27.01.2021 23:12:34,93,
,,Kocaeli,31.851,0,27.01.2021 23:11:56,2.303,
,,Konya,36.385,0,27.01.2021 23:11:57,2.899,
,,Kütahya,9.738,0,27.01.2021 23:11:58,928,
,,Malatya,18.619,0,27.01.2021 23:11:59,1.629,
,,Manisa,24.811,0,27.01.2021 23:12:00,2.170,
,,Mardin,7.247,0,27.01.2021 23:12:02,267,
,,Muğla,22.044,0,27.01.2021 23:12:03,2.533,
,,Muş,3.573,0,27.01.2021 23:12:04,113,
,,Nevşehir,5.749,0,27.01.2021 23:12:05,524,
,,Niğde,6.755,0,27.01.2021 23:12:06,763,
,,Ordu,16.769,0,27.01.2021 23:12:08,1.722,
,,Osmaniye,9.367,0,27.01.2021 23:12:34,974,
,,Rize,8.158,0,27.01.2021 23:12:09,712,
,,Sakarya,12.864,0,27.01.2021 23:12:10,1.095,
,,Samsun,29.538,0,27.01.2021 23:12:11,2.210,
,,Siirt,2.630,0,27.01.2021 23:12:12,93,
,,Sinop,4.591,0,27.01.2021 23:12:13,602,
,,Sivas,12.348,0,27.01.2021 23:12:14,661,
,,Şanlıurfa,16.492,0,27.01.2021 23:12:18,517,
,,Şırnak,4.115,0,27.01.2021 23:12:28,61,
,,Tekirdağ,17.451,0,27.01.2021 23:12:15,1.220,
,,Tokat,14.009,0,27.01.2021 23:12:15,1.578,
,,Trabzon,19.531,0,27.01.2021 23:12:16,1.926,
,,Tunceli,2.314,0,27.01.2021 23:12:17,190,
,,Türkiye,1.523.073,0,27.01.2021 23:00:00,112.679,
,,Uşak,7.243,0,27.01.2021 23:12:19,675,
,,Van,13.311,0,27.01.2021 23:12:20,216,
,,Yalova,5.973,0,27.01.2021 23:12:32,568,
,,Yozgat,8.273,0,27.01.2021 23:12:21,652,
,,Zonguldak,11.293,0,27.01.2021 23:12:22,866,
,,Adana,42.403,0,28.01.2021 23:08:50,4.263,
,,Adıyaman,11.669,0,28.01.2021 23:11:14,1.737,
,,Afyon,15.633,0,28.01.2021 23:11:15,2.019,
,,Ağrı,3.605,0,28.01.2021 23:11:16,105,
,,Aksaray,6.680,0,28.01.2021 23:12:33,778,
,,Amasya,10.635,0,28.01.2021 23:11:17,1.538,
,,Ankara,168.040,0,28.01.2021 23:11:18,17.036,
,,Antalya,55.026,0,28.01.2021 23:11:18,5.162,
,,Ardahan,1.777,0,28.01.2021 23:12:42,143,
,,Artvin,4.809,0,28.01.2021 23:11:19,544,
,,Aydın,26.770,0,28.01.2021 23:11:20,3.627,
,,Balıkesir,32.071,0,28.01.2021 23:11:21,4.579,
,,Bartın,4.259,0,28.01.2021 23:12:40,693,
,,Batman,8.067,0,28.01.2021 23:12:37,545,
,,Bayburt,1.399,0,28.01.2021 23:12:34,99,
,,Bilecik,5.519,0,28.01.2021 23:11:22,606,
,,Bingöl,3.233,0,28.01.2021 23:11:23,152,
,,Bitlis,4.082,0,28.01.2021 23:11:24,118,
,,Bolu,11.168,0,28.01.2021 23:11:25,1.311,
,,Burdur,8.663,0,28.01.2021 23:11:25,1.253,
,,Bursa,54.138,0,28.01.2021 23:11:26,5.281,
,,Çanakkale,15.133,0,28.01.2021 23:11:27,1.878,
,,Çankırı,5.254,0,28.01.2021 23:11:28,639,
,,Çorum,14.029,0,28.01.2021 23:11:29,1.840,
,,Denizli,25.151,0,28.01.2021 23:11:30,2.831,
,,Diyarbakır,22.983,0,28.01.2021 23:11:31,1.559,
,,Düzce,7.834,0,28.01.2021 23:12:48,883,
,,Edirne,12.594,0,28.01.2021 23:11:31,1.431,
,,Elazığ,13.780,0,28.01.2021 23:11:32,1.231,
,,Erzincan,5.129,0,28.01.2021 23:11:33,512,
,,Erzurum,13.385,0,28.01.2021 23:11:34,636,
,,Eskişehir,26.719,0,28.01.2021 23:11:35,3.088,
,,Gaziantep,26.595,0,28.01.2021 23:11:36,1.806,
,,Giresun,12.525,0,28.01.2021 23:11:37,1.404,
,,Gümüşhane,2.778,0,28.01.2021 23:11:38,294,
,,Hakkari,2.146,0,28.01.2021 23:11:39,23,
,,Hatay,27.176,0,28.01.2021 23:11:40,2.885,
,,Içel,38.336,0,28.01.2021 23:11:42,5.249,
,,Iğdır,2.687,0,28.01.2021 23:12:43,211,
,,Isparta,17.030,0,28.01.2021 23:11:41,1.888,
,,Istanbul,295.741,0,28.01.2021 23:11:42,24.392,
,,Izmir,106.271,0,28.01.2021 23:11:43,11.200,
,,Kahramanmaraş,16.636,0,28.01.2021 23:11:53,1.689,
,,Karabük,5.173,0,28.01.2021 23:12:45,664,
,,Karaman,5.919,0,28.01.2021 23:12:35,741,
,,Kars,4.270,0,28.01.2021 23:11:44,311,
,,Kastamonu,8.963,0,28.01.2021 23:11:45,1.262,
,,Kayseri,31.056,0,28.01.2021 23:11:46,3.895,
,,Kırıkkale,6.770,0,28.01.2021 23:12:36,663,
,,Kırklareli,8.633,0,28.01.2021 23:11:47,1.077,
,,Kırşehir,5.884,0,28.01.2021 23:11:48,787,
,,Kilis,2.539,0,28.01.2021 23:12:46,176,
,,Kocaeli,35.636,0,28.01.2021 23:11:49,3.785,
,,Konya,41.033,0,28.01.2021 23:11:50,4.648,
,,Kütahya,11.104,0,28.01.2021 23:11:51,1.366,
,,Malatya,21.135,0,28.01.2021 23:11:52,2.516,
,,Manisa,27.931,0,28.01.2021 23:11:53,3.120,
,,Mardin,7.723,0,28.01.2021 23:11:54,476,
,,Muğla,25.530,0,28.01.2021 23:11:55,3.486,
,,Muş,3.699,0,28.01.2021 23:11:57,126,
,,Nevşehir,6.701,0,28.01.2021 23:11:58,952,
,,Niğde,7.953,0,28.01.2021 23:11:59,1.198,
,,Ordu,18.922,0,28.01.2021 23:12:00,2.153,
,,Osmaniye,11.111,0,28.01.2021 23:12:47,1.744,
,,Rize,9.273,0,28.01.2021 23:12:01,1.115,
,,Sakarya,14.662,0,28.01.2021 23:12:02,1.798,
,,Samsun,32.883,0,28.01.2021 23:12:03,3.345,
,,Siirt,2.734,0,28.01.2021 23:12:04,104,
,,Sinop,5.416,0,28.01.2021 23:12:05,825,
,,Sivas,13.629,0,28.01.2021 23:12:05,1.281,
,,Şanlıurfa,17.206,0,28.01.2021 23:12:10,714,
,,Şırnak,4.263,0,28.01.2021 23:12:39,148,
,,Tekirdağ,19.697,0,28.01.2021 23:12:06,2.246,
,,Tokat,15.774,0,28.01.2021 23:12:07,1.765,
,,Trabzon,22.109,0,28.01.2021 23:12:08,2.578,
,,Tunceli,2.632,0,28.01.2021 23:12:09,318,
,,Türkiye,1.698.009,0,28.01.2021 23:12:49,174.936,
,,Uşak,8.308,0,28.01.2021 23:12:11,1.065,
,,Van,13.674,0,28.01.2021 23:12:12,363,
,,Yalova,6.829,0,28.01.2021 23:12:44,856,
,,Yozgat,9.155,0,28.01.2021 23:12:13,882,
,,Zonguldak,12.508,0,28.01.2021 23:12:14,1.215,
,,Adana,48.026,0,29.01.2021 23:02:41,5.623,
